BANANA  banana
EBRAHIM  iburahimu
EBRAHEEM  iburahimu
IBRAHEEM  iburahimu
EBRAHEM  iburahimu
IBRAHEM  iburahimu
KAMOULA  kamura
NOUR  nu-ru
NOOR  nu-ru
NOR  nu-ru
NUR  nu-ru
YOUSSEF yusefu
YUSSEF  yusefu
YOUSEF  yusefu
YUSEF  yusefu
YOSSEF  yusefu
YOSEF  yusefu
YOUSSIF  yusefu
YUSSIF  yusefu
YOUSIF  yusefu
YUSIF  yusefu
YOSSIF  yusefu
YOSIF  yusefu
AYMAN  aiman
AIMAN  aiman
YEHIA  yahiya
YEHEA  yahiya
YAYA  yaya
YAHIA  yahiya
YAHYA  yahiya
ISA  isa
LAILA  raira  
LAYLA  raira
LAIYLA  raira
LAYILA  raira
ANAS  anasu
ANS  anasu
ADAM  adamu
AYA  aya
NOURA  nu-ra
NOORA  nu-ra
NORA  nu-ra
NURA  nu-ra
ALSAID  issaidu
ALSAYED  issaidu
ELSAID  issaidu
ELSAYED  issaidu
SAID  saidu
SAYED  saidu
SAMIR  sami-ru
SAMEER sami-ru
SAMER sami-ru
SAMA  sama 
SAMA'A  sama
SAMAA  sama
SAMAR  samaru
SAMIRA sami-ra
SALIM  sa-rim
SALEM sa-rim
SONDOS sondosu
SAMI  sami
SEMSEM  semusemu
SALMA  saruma
SALSABIL  sarusabiru
SALSABEL  sarusabiru
SALSABEEL  sarusabiru
KAREEM karimu
KARIM  karimu
KARIEM  karimu
FAIZA faiza
ISMAIL  isumairu
ISMAAIL  ismairu
KHALIFA  karifa
KHALEFA  karifa
HEBA  hiba
AMIRA  amira
MONA  muna
MUNA muna
AMIR amiru
AMEER amiru
AMEERA amira
MARWAN maruwan
AML  amaru
KARMA  karuma
TALA  tara
TARA  tara
LAMAR ramaru 
LAMA rama
LAYAN rayanu
LAIAN rayanu
TASNEM tasuni-mu
TASNEEM  tasuni-mu
KHALID karidu
KHALED karidu
BASANT  basantu
BASSANT basantu
RAHMA rahima
RANEEM  rani-mu
RANEEN  rani-n
REEM  ri-mu
SHIEKHA  shaika
SHAIKHA  shaika
MOZA  moza
TAMEM tamimu
TAMEEM tamimu
ALAA  ara-
A'LAA ara-
ALA'A ara-
A'LA'A ara-
DONIA dunya
DINA dina
DENA dina
YASMEEN  yasumin
YASMEN yasumin
YASEEN  yashin
YASSIN  yashin
YASSEN  yashin
HAMZA  hamuza
LOCK  rokku
TABLE  te-buru
DOOR doa
RULE  ru-ru
CHAINSAW  chenso-
MAN  man
TENMA  tenma
CHEF  chefu

